"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"WS42603871910934","W","Acer Aspire V5-531 LED LCD Notebook Display matt, Artikelnr.: WS42603871910934","","Hardwareteile neu","","","43 SDV Systeme","WS42603871910934","0","0","Stck","0.00","0.00","120.00","0.00","60.00","0.00","0.00","0 kg","","","","07.11.2016","","","","","","21.11.2016","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"WS42603871910934","W","Acer Aspire V5-531 LED LCD Notebook Display matt, Artikelnr.: WS42603871910934","","Hardwareteile neu","","","43 SDV Systeme","WS42603871910934","0","0","Stck","0.00","0.00","120.00","0.00","60.00","0.00","0.00","0 kg","","","","10.02.2017","","","","","","21.11.2016","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1002","W","Acer Aspire Vero Reparatur","Acer Aspire Vero S/N NXAYCEZ00514700EB03400","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","02.10.2023","NXAYCEZ00514700EB03400","","","","","02.10.2023","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0940","W","Acer Aspire Z3-115","S/N: DQSVGEY001437014653000 Zubehör: Netzteil mit Kabel, keine Maus oder Tastatur","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","13.01.2023","DQSVGEY001437014653000","","","","","23.01.2023","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0940","W","Acer Aspire Z3-115","S/N: DQSVGEY001437014653000 Zubehör: Netzteil mit Kabel, keine Maus oder Tastatur","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","06.03.2023","DQSVGEY001437014653000","","","","","23.01.2023","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"003468","W","Acer Ati Radeon HD4350 512MB DDR2 V/D/HDMI","","","","","","","0","0","Stck","0.00","0.00","25.00","0.00","0.00","0.00","0.00","0.18 kg","","","","","","","","","","04.02.2021","ja","0.00","0.00","0.00","","Acer","183","120","21","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006208","W","Acer B193","","","","","","","1","0","Stck","0.00","0.00","40.00","40.00","0.00","0.00","0.00","6.9 kg","","","","","","","","","","23.01.2024","ja","0.00","0.00","0.00","","Acer","200","408","437","","","","","","","",""
"","","","","","","","","","","","","","0.00","","40.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0636","W","Acer Beamer DLP DSV 8017","Acer Beamer DLP DSV0817 Serianlnummer EYK0101059604900D71591B arudin 24.5.2019 Ursprünglich mit falscher Artikelnummer k0611 (kleines k) gespeichert und da K0611 schon für anderes Gerät vergeben war, mit neuer Artikelnummer K0636 gespeichert.","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","08.03.2019","","","","","","08.03.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0636","W","Acer Beamer DLP DSV 8017","Acer Beamer DLP DSV0817 Serianlnummer EYK0101059604900D71591B arudin 24.5.2019 Ursprünglich mit falscher Artikelnummer k0611 (kleines k) gespeichert und da K0611 schon für anderes Gerät vergeben war, mit neuer Artikelnummer K0636 gespeichert.","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","12.04.2019","","","","","","08.03.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0560","W","Acer Beamer Full HD","","","","","","","0","-1","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","","","","","","","18.10.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0479","W","Acer C710 Chromebook","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","10.04.2018","","","","","","10.04.2018","nein","0.00","0.00","0.00","De Micheli Claudio","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1074","W","Acer Chromebook C722","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","18.07.2024","","","","","","18.07.2024","nein","0.00","0.00","0.00","","3Com","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005925","W","Acer ChromeBox CXI","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1 kg","","","","","","","","","","15.09.2023","ja","0.00","0.00","0.00","","Acer","140","60","167","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0581","W","acer core i5","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","","","","","","","23.11.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006636","W","acer CX12","","","","","","","4","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.9 kg","","","","","","","","","","03.08.2024","ja","0.00","0.00","0.00","","Acer","140","30","170","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005336","W","Acer DL00","","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.5 kg","","","","","","","","","","07.04.2023","ja","0.00","0.00","0.00","","Acer","280","340","35","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0992","W","Acer DLP Projector","Model: DMX0912","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","11.08.2023","","","","","","11.08.2023","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0992","W","Acer DLP Projector","Model: DMX0912","","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","24.10.2023","","","","","","11.08.2023","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004048","W","Acer DW271HL","","","","","","","0","0","Stck","0.00","0.00","220.00","0.00","0.00","0.00","0.00","7 kg","","","","23.03.2021","MMLW2EE00422804B8C4300","","","","","23.03.2021","ja","0.00","0.00","0.00","","Acer","192","648","468","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0286","W","Acer e5-571","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","07.11.2016","","","","","","07.11.2016","nein","0.00","0.00","0.00","Picchi Nora","","","","","","","","","","","",""
"K0286","W","Acer e5-571","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","10.02.2017","","","","","","07.11.2016","nein","0.00","0.00","0.00","Picchi Nora","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004229","W","Acer Emachines D725","","","","","","","1","0","Stck","0.00","0.00","110.00","110.00","0.00","0.00","0.00","4.4 kg","","","","","","","","","","22.06.2021","ja","0.00","0.00","0.00","","Acer","230","340","45","","","","","","","",""
"","","","","","","","","","","","","","0.00","","110.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004982","W","Acer eMachines E520","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5 kg","","","","","","","","","","18.08.2022","ja","0.00","0.00","0.00","","emachine","370","280","45","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17094","W","Acer ES1-531","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.4 kg","","","","","","","","","","11.11.2025","nein","0.00","0.00","0.00","","Acer","250","380","30","","Mit dem Acer Aspire ES1-531 sind alltägliche Aktivitäten wie das Surfen im Internet, die Wiedergabe von Videos und die Kommunikation ganz unkompliziert. Intelligente Funktionen für die Benutzerfreundlichkeit gestalten die Nutzung des Notebooks der Aspire E Serie einfach und problemlos.","","Laptop_und_Zubehör","","Laptop","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006343","W","Acer Extensa 5620, 15.4""","","","","","","","1","0","Stck","0.00","0.00","100.00","100.00","0.00","0.00","0.00","2.8 kg","","","","","","","","","","19.03.2024","ja","0.00","0.00","0.00","","Acer","265","360","40","","","","","","","",""
"","","","","","","","","","","","","","0.00","","100.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005786","W","Acer Extensa 7630, 17.3""","","","","","","","1","0","Stck","0.00","0.00","85.00","85.00","0.00","0.00","0.00","4.5 kg","","","","20.10.2023","LXEAXOZOO584368FDB2500","","","","","18.07.2023","ja","0.00","0.00","0.00","","Acer","290","400","45","","","","","","","",""
"","","","","","","","","","","","","","0.00","","85.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000715","W","Acer ezDock Lite (EZ5)","","","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.8 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","Acer","26","11","5.5","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K1093","W","Acer G550","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","04.10.2024","","","","","","08.10.2024","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K1093","W","Acer G550","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","08.10.2024","","","","","","08.10.2024","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0862","W","Acer H7P0901","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","08.04.2022","EYK0701013009005B85901","","","","","08.04.2022","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"K0862","W","Acer H7P0901","","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","08.07.2022","EYK0701013009005B85901","","","","","08.04.2022","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006362","W","Acer KB75211","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.85 kg","","","","","","","","","","22.03.2024","ja","0.00","0.00","0.00","","Acer","453","175","28","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002622","W","acer KM400-M","","","","","","","0","0","Stck","0.00","0.00","50.00","0.00","0.00","0.00","0.00","10.5 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","ECS","430","190","365","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"p130","W","Acer Ladegerät 19V","","","","","","","0","0","Stck","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0 kg","","","","02.10.2023","","","","","","17.09.2015","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0025","W","Acer Laptop Scheidegger Brigitte","Seriennummer: LXI170502444917112ED00","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","03.06.2014","","","","","","13.11.2014","nein","0.00","0.00","0.00","Scheidegger Brigitte","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0573","W","Acer Laptop YN7-592G-71S5","S/N: NHG6KEZ00465004F316600 Zubehör: Netzteil mit Stromkabel","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","07.11.2018","NHG6KEZ00465004F316600","","","","","07.11.2018","nein","0.00","0.00","0.00","Bessermann Philip","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17113","W","Acer M3910","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.9 kg","","","","","","","","","","11.11.2025","nein","0.00","0.00","0.00","","Acer","180","401","379","","PC Schwarz 300 W Intel® Core™ i3 i3-550 3,2 GHz Anzahl Prozessorkerne: 2 4 GB DDR3-SDRAM 1333 MHz 500 GB DVD-RW Integrierter Kartenleser Intel® HD Graphics Ethernet/LAN 10,100,1000 Mbit/s","","Computer_und_Komplettsysteme","","Standard-PC","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0534","W","Acer Monitor Silber","Bei start Bildschirm zeigt soplitter an","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","12.09.2018","","","","","","12.09.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"k0528","W","Acer N16C1 Laptop","","","","","","","0","-1","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","20.08.2018","74800035234","","","","","20.08.2018","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K0615","W","Acer N16c4","Seriennummer S/N NXGCJEZ0016250","Kundengerät","","","","","0","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0 kg","","","","20.03.2019","","","","","","20.03.2019","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
